Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2020,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Detectives and criminal investigators    ,33-3021,113.5,114.7,1.3,1.1,7.3,"86,940",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Diagnostic medical sonographers    ,29-2032,74.3,86.8,12.5,16.8,5.1,"75,920",Associate's degree,4,None,4,None,6
Dietetic technicians    ,29-2051,30.2,32,1.8,5.9,2.5,"30,110",Associate's degree,4,None,4,None,6
Dietitians and nutritionists    ,29-1031,74.2,80.1,5.9,8,5.3,"63,090",Bachelor's degree,3,None,4,Internship/residency,1
Dining room and cafeteria attendants and bartender helpers    ,35-9011,488,519.9,31.9,6.5,83,"25,010",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Directors, religious activities and education    ",21-2021,157.5,162.7,5.2,3.3,17.7,"45,110",Bachelor's degree,3,Less than 5 years,2,None,6
Dishwashers    ,35-9021,522.3,524.7,2.4,0.5,77.6,"25,270",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Dispatchers, except police, fire, and ambulance    ",43-5032,204.6,202.7,-1.9,-0.9,17.1,"40,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Door-to-door sales workers, news and street vendors, and related workers    ",41-9091,72.9,58.3,-14.6,-20,6.3,"29,730",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Drafters, all other    ",17-3019,15.2,15.3,0.1,0.6,1.3,"54,500",Associate's degree,4,None,4,None,6
Dredge operators    ,53-7031,1.6,1.7,0.1,4.5,0.2,"49,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic    ",51-4032,11.2,9.1,-2.1,-19,0.7,"39,780",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Driver/sales workers    ,53-3031,487.4,501.9,14.5,3,51.3,"27,960",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Drywall and ceiling tile installers    ,47-2081,125.1,125.6,0.5,0.4,10.1,"47,460",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",47-5097,25.3,27.3,2,7.8,3,"48,510",High school diploma or equivalent,7,Less than 5 years,2,Long-term on-the-job training,3
"Economics teachers, postsecondary    ",25-1063,16.8,17.6,0.9,5.2,1.4,"107,260",Doctoral or professional degree,1,None,4,None,6
Economists    ,19-3011,20.5,23.5,2.9,14.1,1.6,"108,350",Master's degree,2,None,4,None,6
Editors    ,27-3041,118.7,110,-8.7,-7.3,9.8,"63,400",Bachelor's degree,3,Less than 5 years,2,None,6
